Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
2	03.06.2019 10:22	11320738663	234901686	04.02.2020 08:38	Complete	Complete	Øygarden	Sample	Male	Rossnes	Central	My whole life	Less than once a month	A couple of times a month	Some other place in Norway	Some other place in Norway	Vetsje	Vetsje	Upper secondary school		I don't know, but some call it military dialect	Jeg vet ikke, men noen kaller det forsvarsdialekt.	I don't call it anything	Jeg kaller det ikke for noe	Være	være	solen	Solen	jenten, jenta	Jenten, jenta	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not at all important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Very important	A lot every day	Little or never	A lot every day	Little or never	Little or never	About the same	Øygarden	<Namn>	Nei, ikkje i det heile tatt		4		2	5	5	1	1		1	3		4	2	1				
5	03.06.2019 10:03	11320732254	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	Before school	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Bergensk	Stril/bergensk	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Very important	Very important	Not that important	Somewhat important	Not at all important	A couple of times per week	Practially all the time	Practially all the time	A bit every day	Practially all the time	No	Øygarden, like utanfor Bergen	Bergensar		4	5	2	1	5	1	1	1		2		1	1					4	2
7	03.06.2019 10:03	11321168386		04.02.2020 13:41	Complete	Complete	Øygarden	General	Female	Vikabrekka	Central	5-10 years ago	Less than once a month	A couple of times a month	Some other place in Norway	In another country	Sunnmørsdialekt	Etnolekt (Utenlands dialekt)	Vocational training	Vocational training and other	Sunnmøre dialect with something strange	Sunnmørs-dialekt blandet med noe rart	Stril	Stril	Vær	Vær-	solen	Solen	jenten	Jenten	Vi, me, øss and oss	Vi, me, øss og oss	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Little or never	Little or never	Practially all the time	Little or never	Little or never	No	Vestlandet	Sunnmøring, kanskje	Ikkje så veldig	3	1	5		1	1	1	3		5	1		1		3			1	
10	03.06.2019 10:02	11317942398	234901686	03.02.2020 10:09	Complete	Complete	Øygarden	General	Male	Oen	Peripheral	5-10 years ago	Less than once a month	About once a week	Local or neighboring municipality	Bergen			General studies	General studies	Mix	Blanding	Don't know	Vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Very important	Very important	Not that important	Not at all important	Somewhat important	Very important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	No	Sotra og Øygarden	Du	Nei, ikkje i det heile tatt				3	3	4			3		3		3			3		2	
12	03.06.2019 10:04	11318404502	234901686	03.02.2020 14:18	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month	Some other place in Norway	Local or neighboring municipality	Nordlandsk	Stril	General studies	General studies	Mix dialect	Blandingsdialekt	Stril	Stril	Være, vær	være, vær	sola	Sola	jenta	Jenta	vi	Vi	det	Det	Mix	I write Bokmål Norwegian in written assignments, otherwise mainly Nynorsk Norwegian	Bokmål	Not that important	Not that important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Somewhat important	A couple of times per week	A lot every day	Practially all the time	Little or never	Little or never	No	I nærleiken av Bergen	Vestlending	Ikkje så veldig	4	2	2		3	2		4	2	2	4	2	3	2	4			1	
13	03.06.2019 09:59	10772122509	216331141	03.06.2019 09:49	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	2-5 years ago	A couple of times a month	Less than once a month	Bergen	Bergen	Bokmål	Bokmål	General studies	General studies	Mix of Bergen and Stril	Blanding mellom stril og bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Very important	Somewhat important	Not at all important	Not at all important	Somewhat important	Not at all important	A bit every day	A lot every day	Little or never	Little or never	Practially all the time	No	Bergen	Bergensar		1	5	1		5	2	1	1		4	1		2		4			4	
23	03.06.2019 09:57	10767976175	216331141	31.05.2019 12:38	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month	Bergen	In another country	Bergensk	utlandsk	Vocational training	Vocational training and other	Mix	Blanding	Nynorsk Norwegian	Nynorsk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not that important	Somewhat important	Not that important	Not that important	Not that important	Not that important	A couple of times per week	A couple of times per week	A bit every day	Little or never	A bit every day	About the same	Bergen	Samme for meg	Nei, ikkje i det heile tatt	3	2	4	2	3	2	1	3	2	2	3	2	3	4	3	2	3	2	2
28	03.06.2019 09:56	10772107993	216331141	03.06.2019 09:35	Complete	Complete	Øygarden	General	Female	Rong	Central	2-5 years ago	A couple of times a month	A couple of times a month	In another country	In another country	Kebabnorsk	Kebabnorsk	Sports	General studies	Mix dialect	Blandingsdialekt	Øygarden dialect	Øygards-dialekt	Være	være	sola	Sola	jenta	Jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Somewhat important	Not that important	Very important	Somewhat important	A lot every day	Practially all the time	A lot every day	Little or never	Practially all the time	No	Bergen	Bergensar			5	3	1	5	1	1	1	4	1	2	5	1	5	1	1	1	1	1
32	03.06.2019 09:57	11321018628	234901686	04.02.2020 11:25	Complete	Complete	Øygarden	General	Male			Before school	Less than once a month	A couple of times a month	Bergen	Local or neighboring municipality	Vetsj	Mhm	<Do not want to answer>		Mixed	Blanda	Stril?	Stril?	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	A bit every day	A bit every day	A bit every day	A bit every day	A bit every day	Yes	Øygarden	Mennesket	Nei, ikkje i det heile tatt	3	5	4	5	5	2	4	1	4	1	5	5	5						3
33	03.06.2019 09:50	11320732926	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Female	Toftøy	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Hordaland except Bergen	Stril	Stril	Sports	General studies	Somewhat whatered down Stril	Litt utvatna stril	Full out Stril	Kav stril	Væra	væra	sola	Sola			Mix	Vi, me (kjem an på kven eg snakkar med)	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Very important	Somewhat important	Very important	Not at all important	Not that important	Somewhat important	Not at all important	A couple of times per week	A couple of times per week	A couple of times per week	Little or never	A lot every day	No	Øygarden, like utanfor Bergen	Stril	Ja, veldig	4	5	4	5	5	5	5	5	4	5	3	4	5	5	5	3	5	5	5
